CASCADE_ID,HRU_UP_ID,CASCADE_TYPE_UP,UP_ROW,UP_COL,UP_X,UP_Y,HRU_DOWN_ID,CASCADE_TYPE_DOWN,DOWN_ROW,DOWN_COL,DOWN_X,DOWN_Y,CASC_PCT,HRU_STRM_SEG_DOWN,HRU_RCH_DOWN
      1681,      3304,1,        42,        65,   220167.7968750000,  4369454.0000000000,      3305,1,        42,        66,   220257.7968750000,  4369454.0000000000,0.333333343267,         0,         0
      1682,      3305,1,        42,        66,   220257.7968750000,  4369454.0000000000,      3306,1,        42,        67,   220347.7968750000,  4369454.0000000000,1.000000000000,         0,         0
      1683,      3306,1,        42,        67,   220347.7968750000,  4369454.0000000000,      3227,1,        41,        67,   220347.7968750000,  4369544.0000000000,0.333333343267,         0,         0
      1684,      3306,1,        42,        67,   220347.7968750000,  4369454.0000000000,      3385,1,        43,        67,   220347.7968750000,  4369364.0000000000,0.333333343267,         0,         0
      1685,      3306,1,        42,        67,   220347.7968750000,  4369454.0000000000,      3307,1,        42,        68,   220437.7968750000,  4369454.0000000000,0.333333343267,         0,         0
      1686,      3326,1,        43,         8,   215037.7968750000,  4369364.0000000000,      3247,1,        42,         8,   215037.7968750000,  4369454.0000000000,0.500000000000,         0,         0
      1687,      3326,1,        43,         8,   215037.7968750000,  4369364.0000000000,      3327,1,        43,         9,   215127.7968750000,  4369364.0000000000,0.500000000000,         0,         0
      1688,      3327,1,        43,         9,   215127.7968750000,  4369364.0000000000,      3248,1,        42,         9,   215127.7968750000,  4369454.0000000000,0.333333343267,         0,         0
      1689,      3327,1,        43,         9,   215127.7968750000,  4369364.0000000000,      3406,1,        44,         9,   215127.7968750000,  4369274.0000000000,0.333333343267,         0,         0
      1690,      3327,1,        43,         9,   215127.7968750000,  4369364.0000000000,      3328,1,        43,        10,   215217.7968750000,  4369364.0000000000,0.333333343267,         0,         0
      1691,      3328,1,        43,        10,   215217.7968750000,  4369364.0000000000,      3249,1,        42,        10,   215217.7968750000,  4369454.0000000000,0.333333343267,         0,         0
      1692,      3328,1,        43,        10,   215217.7968750000,  4369364.0000000000,      3407,1,        44,        10,   215217.7968750000,  4369274.0000000000,0.333333343267,         0,         0
      1693,      3328,1,        43,        10,   215217.7968750000,  4369364.0000000000,      3329,1,        43,        11,   215307.7968750000,  4369364.0000000000,0.333333343267,         0,         0
      1694,      3381,1,        43,        63,   219987.7968750000,  4369364.0000000000,      3302,1,        42,        63,   219987.7968750000,  4369454.0000000000,0.500000000000,         0,         0
      1695,      3381,1,        43,        63,   219987.7968750000,  4369364.0000000000,      3380,1,        43,        62,   219897.7968750000,  4369364.0000000000,0.500000000000,         0,         0
      1696,      3385,1,        43,        67,   220347.7968750000,  4369364.0000000000,      3464,1,        44,        67,   220347.7968750000,  4369274.0000000000,0.500000000000,         0,         0
      1697,      3385,1,        43,        67,   220347.7968750000,  4369364.0000000000,      3386,1,        43,        68,   220437.7968750000,  4369364.0000000000,0.500000000000,         0,         0
      1698,      3386,1,        43,        68,   220437.7968750000,  4369364.0000000000,      3307,1,        42,        68,   220437.7968750000,  4369454.0000000000,0.333333343267,         0,         0
